Acrometopa_macropoda
Antaxius_difformis
Barbitistes_fischeri
Barbitistes_ocskayi
Barbitistes_serricauda
Barbitistes_yersini
Bicolorana_bicolor
Conocephalus_dorsalis
Conocephalus_fuscus
Cyrtaspis_scutata
Decticus_albifrons
Decticus_verrucivorus
Ephippiger_terrestris
Eupholidoptera_garganica
Eupholidoptera_schmidti
Isophya_modestior
Leptophyes_albovittata
Leptophyes_boscii
Leptophyes_calabra
Leptophyes_laticauda
Leptophyes_punctatissima
Metrioptera_brachyptera
Metrioptera_saussuriana
Odontura_stenoxypha
Pachytrachis_gracilis
Phaneroptera_falcata
Phaneroptera_nana
Pholidoptera_aptera
Pholidoptera_fallax
Pholidoptera_femorata
Pholidoptera_griseoaptera
Pholidoptera_littoralis
Platycleis_affinis
Platycleis_albopunctata
Platycleis_escalerai
Platycleis_grisea
Platycleis_intermedia
Platycleis_sabulosa
Poecilimon_elegans
Poecilimon_ornatus
Poecilimon_superbus
Poecilimon_thoracicus
Polysarcus_denticauda
Rhacocleis_annulata
Rhacocleis_baccettii
Rhacocleis_germanica
Roeseliana_roeselii
Ruspolia_nitidula
Sepiana_sepium
Tessellana_lagrecai
Tessellana_tessellata
Tettigonia_cantans
Tettigonia_caudata
Tettigonia_longispina
Tettigonia_viridissima
Tylopsis_lilifolia
Uromenus_brevicollis
Uromenus_elegans
Yersinella_raymondii
Zeuneriana_abbreviata
Acheta_domesticus
Eumodicogryllus_bordigalensis
Gryllus_bimaculatus
Gryllus_campestris
Melanogryllus_desertus
Svercus_palmetorum
Natula_averni
Nemobius_sylvestris
Pteronemobius_heydenii
Pteronemobius_lineolatus
Oecanthus_dulcisonans
Oecanthus_pellucens
Gryllotalpa_gryllotalpa
Arcyptera_fusca
Chorthippus_apricarius
Chorthippus_biguttulus
Chorthippus_brunneus
Chorthippus_dichrous
Chorthippus_dorsatus
Chorthippus_eisentrauti
Chorthippus_mollis
Chorthippus_saulcyi
Chorthippus_vagans
Chrysochraon_dispar
Dociostaurus_jagoi
Euchorthippus_declivus
Euchorthippus_elegantulus
Euthystira_brachyptera
Gomphocerippus_rufus
Gomphocerus_sibiricus
Myrmeleotettix_maculatus
Omocestus_haemorrhoidalis
Omocestus_petraeus
Omocestus_raymondi
Omocestus_rufipes
Omocestus_viridulus
Pseudochorthippus_montanus
Pseudochorthippus_parallelus
Psophus_stridulus
Stauroderus_scalaris
Stenobothrus_fischeri
Stenobothrus_lineatus
Stenobothrus_nigromaculatus
Stenobothrus_rubicundulus
Stenobothrus_stigmaticus
Stethophyma_grossum
