Common Name,Scientific Name,Count,Threshold
BootedEagle,Hieraaetus pennatus,34,0.6100000143051147
Pin-tailedSnipe,Gallinago stenura,34,0.07999999821186066
Rough-leggedBuzzard,Buteo lagopus,35,0.47999998927116394
BlackSwan,Cygnus atratus,35,0.2800000011920929
White-rumpedSwift,Apus caffer,36,0.1899999976158142
ScottishCrossbill,Loxia scotica,37,0.08999999612569809
AsianDesertWarbler,Sylvia nana,37,0.17000000178813934
VelvetScoter,Melanitta fusca,37,0.14000000059604645
EasternBlack-earedWheatear,Oenanthe melanoleuca,38,0.6500000357627869
GriffonVulture,Gyps fulvus,39,0.3499999940395355
BimaculatedLark,Melanocorypha bimaculata,39,0.41999998688697815
HenHarrier,Circus cyaneus,39,0.3999999761581421
CretzschmarsBunting,Emberiza caesia,39,0.5
GlaucousGull,Larus hyperboreus,40,0.47999998927116394
Black-belliedSandgrouse,Pterocles orientalis,40,0.3799999952316284
AudouinsGull,Ichthyaetus audouinii,40,0.23999999463558197
SwanGoose,Anser cygnoid,40,0.6000000238418579
Black-throatedThrush,Turdus atrogularis,40,0.5
ScopolisShearwater,Calonectris diomedea,41,0.08999999612569809
Scaly-breastedMunia,Lonchura punctulata,41,0.6800000071525574
Red-knobbedCoot,Fulica cristata,41,0.19999998807907104
GreaterSandPlover,Charadrius leschenaultii,42,0.08999999612569809
AtlanticPuffin,Fratercula arctica,43,0.44999998807907104
CrestedMyna,Acridotheres cristatellus,44,0.5
CacklingGoose,Branta hutchinsii,46,0.29999998211860657
BonapartesGull,Larus philadelphia,46,0.38999998569488525
LesserSpottedEagle,Clanga pomarina,48,0.699999988079071
CorsicanNuthatch,Sitta whiteheadi,48,0.6200000047683716
NorthernGannet,Morus bassanus,49,0.28999999165534973
Turquoise-frontedAmazon,Amazona aestiva,50,0.5099999904632568
Red-headedBunting,Emberiza bruniceps,50,0.38999998569488525
OrientalTurtleDove,Streptopelia orientalis,50,0.6700000166893005
WhitesThrush,Zoothera aurea,50,0.5099999904632568
PacificGoldenPlover,Pluvialis fulva,50,0.3100000023841858
Shikra,Accipiter badius,50,0.41999998688697815
SykessWarbler,Iduna rama,50,0.4899999797344208
Red-ventedBulbul,Pycnonotus cafer,50,0.5699999928474426
Scaly-headedParrot,Pionus maximiliani,50,0.2199999988079071
Red-maskedParakeet,Psittacara erythrogenys,50,0.8500000238418579
MongolianFinch,Bucanetes mongolicus,50,0.7599999904632568
MitredParakeet,Psittacara mitratus,50,0.8500000238418579
Yellow-throatedSparrow,Gymnoris xanthocollis,50,0.7400000095367432
WildTurkey,Meleagris gallopavo,50,0.7300000190734863
SenegalParrot,Poicephalus senegalus,50,0.3100000023841858
HarrissHawk,Parabuteo unicinctus,50,0.7400000095367432
Red-wattledLapwing,Vanellus indicus,50,0.38999998569488525
Blue-wingedTeal,Spatula discors,50,0.17000000178813934
Red-crestedPochard,Netta rufina,50,0.3799999952316284
Long-tailedJaeger,Stercorarius longicaudus,50,0.3400000035762787
PineBunting,Emberiza leucocephalos,50,0.8299999833106995
Red-breastedMerganser,Mergus serrator,51,0.4599999785423279
Pin-tailedWhydah,Vidua macroura,51,0.35999998450279236
Red-whiskeredBulbul,Pycnonotus jocosus,51,0.1899999976158142
WesternOlivaceousWarbler,Iduna opaca,51,0.4099999964237213
CommonMyna,Acridotheres tristis,51,0.4099999964237213
MountainChiffchaff,Phylloscopus sindianus,51,0.3499999940395355
Ring-billedGull,Larus delawarensis,51,0.17999999225139618
