Common Name,Scientific Name,Count,Threshold
DesertLark,Ammomanes deserti,34,0.44999998807907104
BalearicWarbler,Curruca balearica,34,0.4699999988079071
GreaterSpottedEagle,Clanga clanga,34,0.5799999833106995
Grey-neckedBunting,Emberiza buchanani,34,0.75
BootedEagle,Hieraaetus pennatus,34,0.9100000262260437
Pin-tailedSnipe,Gallinago stenura,34,0.5600000023841858
Rough-leggedBuzzard,Buteo lagopus,35,0.9800000190734863
BlackSwan,Cygnus atratus,35,0.5900000333786011
White-rumpedSwift,Apus caffer,36,0.4699999988079071
ScottishCrossbill,Loxia scotica,37,0.550000011920929
AsianDesertWarbler,Sylvia nana,37,0.4099999964237213
VelvetScoter,Melanitta fusca,37,0.32999998331069946
EasternBlack-earedWheatear,Oenanthe melanoleuca,38,0.550000011920929
GriffonVulture,Gyps fulvus,39,0.5600000023841858
BimaculatedLark,Melanocorypha bimaculata,39,0.7900000214576721
HenHarrier,Circus cyaneus,39,0.5600000023841858
CretzschmarsBunting,Emberiza caesia,39,0.38999998569488525
GlaucousGull,Larus hyperboreus,40,0.8600000143051147
Black-belliedSandgrouse,Pterocles orientalis,40,0.2800000011920929
AudouinsGull,Ichthyaetus audouinii,40,0.6200000047683716
SwanGoose,Anser cygnoid,40,0.5600000023841858
Black-throatedThrush,Turdus atrogularis,40,0.8299999833106995
ScopolisShearwater,Calonectris diomedea,41,0.5099999904632568
Scaly-breastedMunia,Lonchura punctulata,41,0.5900000333786011
Red-knobbedCoot,Fulica cristata,41,0.11999999731779099
GreaterSandPlover,Charadrius leschenaultii,42,0.8999999761581421
AtlanticPuffin,Fratercula arctica,43,0.44999998807907104
CrestedMyna,Acridotheres cristatellus,44,0.7900000214576721
CacklingGoose,Branta hutchinsii,46,0.4899999797344208
BonapartesGull,Larus philadelphia,46,0.4099999964237213
LesserSpottedEagle,Clanga pomarina,48,0.8199999928474426
CorsicanNuthatch,Sitta whiteheadi,48,0.7699999809265137
NorthernGannet,Morus bassanus,49,0.1599999964237213
Turquoise-frontedAmazon,Amazona aestiva,50,0.4399999976158142
Red-headedBunting,Emberiza bruniceps,50,0.5900000333786011
OrientalTurtleDove,Streptopelia orientalis,50,0.5900000333786011
WhitesThrush,Zoothera aurea,50,0.8100000023841858
PacificGoldenPlover,Pluvialis fulva,50,0.6299999952316284
Shikra,Accipiter badius,50,0.5
SykessWarbler,Iduna rama,50,0.7099999785423279
Red-ventedBulbul,Pycnonotus cafer,50,0.5099999904632568
Scaly-headedParrot,Pionus maximiliani,50,0.6299999952316284
Red-maskedParakeet,Psittacara erythrogenys,50,0.4899999797344208
MongolianFinch,Bucanetes mongolicus,50,0.44999998807907104
MitredParakeet,Psittacara mitratus,50,0.6000000238418579
Yellow-throatedSparrow,Gymnoris xanthocollis,50,0.800000011920929
WildTurkey,Meleagris gallopavo,50,0.6399999856948853
SenegalParrot,Poicephalus senegalus,50,0.8199999928474426
HarrissHawk,Parabuteo unicinctus,50,0.4699999988079071
Red-wattledLapwing,Vanellus indicus,50,0.3400000035762787
Blue-wingedTeal,Spatula discors,50,0.3499999940395355
Red-crestedPochard,Netta rufina,50,0.14000000059604645
Long-tailedJaeger,Stercorarius longicaudus,50,0.9100000262260437
PineBunting,Emberiza leucocephalos,50,0.75
Red-breastedMerganser,Mergus serrator,51,0.6399999856948853
Pin-tailedWhydah,Vidua macroura,51,0.7900000214576721
Red-whiskeredBulbul,Pycnonotus jocosus,51,0.8100000023841858
WesternOlivaceousWarbler,Iduna opaca,51,0.8199999928474426
CommonMyna,Acridotheres tristis,51,0.35999998450279236
MountainChiffchaff,Phylloscopus sindianus,51,0.6800000071525574
Ring-billedGull,Larus delawarensis,51,0.800000011920929
CorsicanFinch,Carduelis corsicana,51,0.75
Pied-billedGrebe,Podilymbus podiceps,51,0.5400000214576721
HouseCrow,Corvus splendens,51,0.4099999964237213
Red-footedFalcon,Falco vespertinus,51,0.6800000071525574
Blue-cheekedBee-eater,Merops persicus,51,0.8999999761581421
SquaccoHeron,Ardeola ralloides,51,0.9100000262260437
HelmetedGuineafowl,Numida meleagris,51,0.8199999928474426
SpottedSandpiper,Actitis macularius,51,0.8799999952316284
BootedWarbler,Iduna caligata,51,0.800000011920929
ElegantTern,Thalasseus elegans,51,0.75
DemoiselleCrane,Anthropoides virgo,51,0.6100000143051147
White-throatedKingfisher,Halcyon smyrnensis,51,0.6299999952316284
SnowGoose,Anser caerulescens,51,0.29999998211860657
LanceolatedWarbler,Locustella lanceolata,51,0.8600000143051147
RedAvadavat,Amandava amandava,51,0.25
WesternRockNuthatch,Sitta neumayer,52,0.5199999809265137
RosyStarling,Pastor roseus,52,0.5
ChukarPartridge,Alectoris chukar,52,0.800000011920929
PurpleSandpiper,Calidris maritima,52,0.7699999809265137
WoodDuck,Aix sponsa,52,0.7099999785423279
BlackGuillemot,Cepphus grylle,52,0.47999998927116394
Yellow-headedAmazon,Amazona oratrix,52,0.7900000214576721
Bar-headedGoose,Anser indicus,52,0.5600000023841858
GracefulPrinia,Prinia gracilis,52,0.6500000357627869
Blue-crownedParakeet,Psittacara acuticaudatus,52,0.3700000047683716
LaughingDove,Spilopelia senegalensis,52,0.5699999928474426
PiedKingfisher,Ceryle rudis,52,0.6700000166893005
TrumpeterFinch,Bucanetes githagineus,53,0.28999999165534973
Vinous-throatedParrotbill,Sinosuthora webbiana,53,0.6700000166893005
OrientalCuckoo,Cuculus optatus,53,0.28999999165534973
MadeiraFirecrest,Regulus madeirensis,53,0.6700000166893005
Broad-billedSandpiper,Calidris falcinellus,53,0.7800000309944153
EurasianSpoonbill,Platalea leucorodia,53,0.25
Grey-headedChickadee,Poecile cinctus,53,0.6600000262260437
MonkParakeet,Myiopsitta monachus,53,0.3999999761581421
MediterraneanFlycatcher,Muscicapa tyrrhenica,53,0.3999999761581421
BerthelotsPipit,Anthus berthelotii,53,0.7900000214576721
LittleBustard,Tetrax tetrax,54,0.8700000047683716
Spur-wingedLapwing,Vanellus spinosus,54,0.8700000047683716
RaddesWarbler,Phylloscopus schwarzi,54,0.6700000166893005
LittleSwift,Apus affinis,54,0.6700000166893005
MenetriessWarbler,Sylvia mystacea,54,0.7099999785423279
Black-headedWeaver,Ploceus melanocephalus,54,0.6200000047683716
JackSnipe,Lymnocryptes minimus,55,0.44999998807907104
NorthernBobwhite,Colinus virginianus,55,0.3999999761581421
Pin-tailedSandgrouse,Pterocles alchata,55,0.19999998807907104
Black-neckedGrebe,Podiceps nigricollis,55,0.550000011920929
PiedWheatear,Oenanthe pleschanka,55,0.5699999928474426
IndianPeafowl,Pavo cristatus,56,0.17999999225139618
CommonBulbul,Pycnonotus barbatus,56,0.41999998688697815
AzureTit,Cyanistes cyanus,56,0.6299999952316284
KrüpersNuthatch,Sitta krueperi,56,0.2800000011920929
RockPartridge,Alectoris graeca,56,0.28999999165534973
RockPtarmigan,Lagopus muta,56,0.7800000309944153
PallassLeafWarbler,Phylloscopus proregulus,56,0.8999999761581421
NorthernHawk-Owl,Surnia ulula,57,0.4699999988079071
Short-toedSnakeEagle,Circaetus gallicus,57,0.20999999344348907
SiberianRubythroat,Calliope calliope,57,0.7300000190734863
White-spectacledBulbul,Pycnonotus xanthopygos,57,0.7300000190734863
NorthernFulmar,Fulmarus glacialis,59,0.7599999904632568
GreatGreyOwl,Strix nebulosa,59,0.7200000286102295
EuropeanStormPetrel,Hydrobates pelagicus,59,0.25999999046325684
RedJunglefowl,Gallus gallus,60,0.4899999797344208
CollaredPratincole,Glareola pratincola,60,0.41999998688697815
RuddyShelduck,Tadorna ferruginea,60,0.28999999165534973
AlexandrineParakeet,Psittacula eupatria,61,0.7599999904632568
RedPhalarope,Phalaropus fulicarius,61,0.7900000214576721
BlackWheatear,Oenanthe leucura,61,0.4899999797344208
CommonLoon,Gavia immer,62,0.7900000214576721
EasternOrpheanWarbler,Curruca crassirostris,62,0.699999988079071
BlackFrancolin,Francolinus francolinus,62,0.4699999988079071
CaliforniaQuail,Callipepla californica,63,0.3700000047683716
AfricanReedWarbler,Acrocephalus baeticatus,63,0.8199999928474426
IsabellineWheatear,Oenanthe isabellina,63,0.7099999785423279
MarmorasWarbler,Curruca sarda,63,0.7099999785423279
MarshSandpiper,Tringa stagnatilis,63,0.9300000071525574
Razorbill,Alca torda,64,0.3799999952316284
WesternSubalpineWarbler,Curruca iberiae,65,0.5099999904632568
PectoralSandpiper,Calidris melanotos,67,0.6299999952316284
White-wingedTern,Chlidonias leucopterus,68,0.5
Black-throatedLoon,Gavia arctica,68,0.7800000309944153
Merlin,Falco columbarius,68,0.75
Red-flankedBluetail,Tarsiger cyanurus,69,0.8500000238418579
PaddyfieldWarbler,Acrocephalus agricola,69,0.5300000309944153
LittleStint,Calidris minuta,69,0.8500000238418579
TerekSandpiper,Xenus cinereus,70,0.5099999904632568
EuropeanRoller,Coracias garrulus,70,0.7599999904632568
WesternOsprey,Pandion haliaetus,71,0.6500000357627869
TemmincksStint,Calidris temminckii,71,0.25
RoseateTern,Sterna dougallii,74,0.5199999809265137
ParasiticJaeger,Stercorarius parasiticus,75,0.23999999463558197
ManxShearwater,Puffinus puffinus,76,0.28999999165534973
TaigaBeanGoose,Anser fabalis,76,0.8500000238418579
Red-neckedPhalarope,Phalaropus lobatus,78,0.7099999785423279
GreenWarbler,Phylloscopus nitidus,78,0.6700000166893005
Long-tailedDuck,Clangula hyemalis,79,0.2199999988079071
CommonRockThrush,Monticola saxatilis,79,0.6100000143051147
HornedLark,Eremophila alpestris,79,0.5799999833106995
IberianGreyShrike,Lanius meridionalis,79,0.75
WesternBlack-earedWheatear,Oenanthe hispanica,80,0.19999998807907104
GlossyIbis,Plegadis falcinellus,80,0.12999999523162842
White-wingedSnowfinch,Montifringilla nivalis,82,0.6200000047683716
Olive-backedPipit,Anthus hodgsoni,82,0.429999977350235
AfricanBlueTit,Cyanistes teneriffae,82,0.7300000190734863
CurlewSandpiper,Calidris ferruginea,83,0.8799999952316284
ArcticWarbler,Phylloscopus borealis,84,0.4399999976158142
CommonPochard,Aythya ferina,84,0.4699999988079071
WesternCattleEgret,Bubulcus ibis,87,0.3400000035762787
Red-neckedGrebe,Podiceps grisegena,87,0.6299999952316284
GreatEgret,Ardea alba,89,0.4399999976158142
RockDove,Columba livia,91,0.2199999988079071
CanaryIslandsChiffchaff,Phylloscopus canariensis,92,0.699999988079071
CommonMurre,Uria aalge,92,0.17999999225139618
HornedGrebe,Podiceps auritus,92,0.17999999225139618
SyrianWoodpecker,Dendrocopos syriacus,92,0.8500000238418579
MandarinDuck,Aix galericulata,95,0.7800000309944153
Gull-billedTern,Gelochelidon nilotica,95,0.07999999821186066
Red-neckedNightjar,Caprimulgus ruficollis,98,0.25
NorthernPintail,Anas acuta,101,0.20999999344348907
DupontsLark,Chersophilus duponti,102,0.3999999761581421
CommonEider,Somateria mollissima,103,0.25
EuropeanHoneyBuzzard,Pernis apivorus,104,0.8100000023841858
LesserKestrel,Falco naumanni,104,0.1599999964237213
CitrineWagtail,Motacilla citreola,107,0.7800000309944153
Sanderling,Calidris alba,107,0.5300000309944153
GoldenEagle,Aquila chrysaetos,108,0.6299999952316284
CaspianGull,Larus cachinnans,108,0.26999998092651367
AquaticWarbler,Acrocephalus paludicola,109,0.3799999952316284
CommonMerganser,Mergus merganser,109,0.3799999952316284
RedKnot,Calidris canutus,109,0.8299999833106995
AlpineChough,Pyrrhocorax graculus,112,0.4899999797344208
BlackKite,Milvus migrans,112,0.22999998927116394
EasternOlivaceousWarbler,Iduna pallida,113,0.6200000047683716
LittleGull,Hydrocoloeus minutus,113,0.5199999809265137
Red-leggedPartridge,Alectoris rufa,113,0.41999998688697815
CitrilFinch,Carduelis citrinella,115,0.5900000333786011
AlpineSwift,Tachymarptis melba,116,0.32999998331069946
EurasianCragMartin,Ptyonoprogne rupestris,116,0.5300000309944153
GreatSnipe,Gallinago media,116,0.17999999225139618
DuskyWarbler,Phylloscopus fuscatus,116,0.8100000023841858
AlpineAccentor,Prunella collaris,117,0.17000000178813934
NorthernShoveler,Spatula clypeata,117,0.17999999225139618
BlueRockThrush,Monticola solitarius,117,0.7300000190734863
RedKite,Milvus milvus,118,0.3199999928474426
MontagusHarrier,Circus pygargus,120,0.6899999976158142
ItalianSparrow,Passer italiae,121,0.2800000011920929
WhiteStork,Ciconia ciconia,121,0.3999999761581421
MoltonisWarbler,Curruca subalpina,122,0.6500000357627869
Black-leggedKittiwake,Rissa tridactyla,125,0.23999999463558197
Black-wingedKite,Elanus caeruleus,125,0.4699999988079071
SpanishSparrow,Passer hispaniolensis,125,0.6000000238418579
WillowPtarmigan,Lagopus lagopus,125,0.5699999928474426
CorysShearwater,Calonectris borealis,127,0.38999998569488525
WoodchatShrike,Lanius senator,127,0.7300000190734863
CommonWaxbill,Estrilda astrild,127,0.1599999964237213
Twite,Linaria flavirostris,129,0.5099999904632568
SpectacledWarbler,Curruca conspicillata,129,0.11999999731779099
Rufous-tailedScrubRobin,Cercotrichas galactotes,130,0.550000011920929
EurasianSparrowhawk,Accipiter nisus,130,0.4599999785423279
LittleBunting,Emberiza pusilla,130,0.6100000143051147
SiberianJay,Perisoreus infaustus,131,0.429999977350235
PineGrosbeak,Pinicola enucleator,131,0.5699999928474426
AtlanticCanary,Serinus canaria,132,0.6200000047683716
MoustachedWarbler,Acrocephalus melanopogon,132,0.8899999856948853
Black-headedBunting,Emberiza melanocephala,133,0.6299999952316284
Red-rumpedSwallow,Cecropis daurica,134,0.6299999952316284
WesternCapercaillie,Tetrao urogallus,134,0.35999998450279236
BlackTern,Chlidonias niger,135,0.7599999904632568
Garganey,Spatula querquedula,139,0.20999999344348907
GreaterShort-toedLark,Calandrella brachydactyla,140,0.699999988079071
TundraSwan,Cygnus columbianus,141,0.6299999952316284
MediterraneanShort-toedLark,Alaudala rufescens,142,0.4599999785423279
Two-barredCrossbill,Loxia leucoptera,145,0.8600000143051147
LittleCrake,Zapornia parva,146,0.3400000035762787
EurasianDotterel,Charadrius morinellus,147,0.5300000309944153
KentishPlover,Charadrius alexandrinus,149,0.2800000011920929
EurasianHobby,Falco subbuteo,151,0.29999998211860657
WhiskeredTern,Chlidonias hybrida,152,0.4699999988079071
CaspianTern,Hydroprogne caspia,152,0.23999999463558197
EgyptianGoose,Alopochen aegyptiaca,153,0.25
Bar-tailedGodwit,Limosa lapponica,153,0.6399999856948853
Slender-billedGull,Chroicocephalus genei,154,0.5300000309944153
PurpleHeron,Ardea purpurea,159,0.6500000357627869
White-tailedEagle,Haliaeetus albicilla,159,0.4699999988079071
GreyPartridge,Perdix perdix,160,0.38999998569488525
CommonGoldeneye,Bucephala clangula,161,0.75
BrantGoose,Branta bernicla,163,0.6299999952316284
IberianMagpie,Cyanopica cooki,163,0.3100000023841858
TuftedDuck,Aythya fuligula,163,0.07000000029802322
Short-earedOwl,Asio flammeus,164,0.23999999463558197
WesternSwamphen,Porphyrio porphyrio,164,0.3700000047683716
WesternOrpheanWarbler,Curruca hortensis,167,0.7800000309944153
GreatCormorant,Phalacrocorax carbo,175,0.41999998688697815
GreatSpottedCuckoo,Clamator glandarius,176,0.19999998807907104
GreaterFlamingo,Phoenicopterus roseus,177,0.35999998450279236
RusticBunting,Emberiza rustica,180,0.8400000333786011
TheklasLark,Galerida theklae,181,0.1899999976158142
White-throatedDipper,Cinclus cinclus,181,0.6299999952316284
RockSparrow,Petronia petronia,181,0.29999998211860657
SnowBunting,Plectrophenax nivalis,181,0.5
MediterraneanGull,Ichthyaetus melanocephalus,182,0.3100000023841858
PeregrineFalcon,Falco peregrinus,182,0.5300000309944153
UralOwl,Strix uralensis,186,0.6800000071525574
GreatBlack-backedGull,Larus marinus,187,0.35999998450279236
BaillonsCrake,Zapornia pusilla,188,0.5
BohemianWaxwing,Bombycilla garrulus,188,0.5300000309944153
StockDove,Columba oenas,191,0.429999977350235
GreatGreyShrike,Lanius excubitor,191,0.3799999952316284
Pink-footedGoose,Anser brachyrhynchus,191,0.5300000309944153
Red-billedChough,Pyrrhocorax pyrrhocorax,193,0.8199999928474426
CommonScoter,Melanitta nigra,194,0.25999999046325684
Red-throatedLoon,Gavia stellata,196,0.32999998331069946
PallidSwift,Apus pallidus,198,0.8199999928474426
SandMartin,Riparia riparia,198,0.5
BlackGrouse,Lyrurus tetrix,199,0.26999998092651367
LesserBlack-backedGull,Larus fuscus,205,0.35999998450279236
IberianGreenWoodpecker,Picus sharpei,211,0.6000000238418579
WesternMarshHarrier,Circus aeruginosus,217,0.17999999225139618
EuropeanRockPipit,Anthus petrosus,229,0.7099999785423279
HumesLeafWarbler,Phylloscopus humei,229,0.29999998211860657
GreatCrestedGrebe,Podiceps cristatus,231,0.5799999833106995
Rose-ringedParakeet,Psittacula krameri,234,0.3400000035762787
SpottedRedshank,Tringa erythropus,234,0.26999998092651367
EurasianPendulineTit,Remiz pendulinus,241,0.699999988079071
Red-throatedPipit,Anthus cervinus,244,0.32999998331069946
SpottedNutcracker,Nucifraga caryocatactes,248,0.4699999988079071
RuddyTurnstone,Arenaria interpres,251,0.4399999976158142
LaplandLongspur,Calcarius lapponicus,256,0.3199999928474426
RockBunting,Emberiza cia,257,0.5199999809265137
White-backedWoodpecker,Dendrocopos leucotos,259,0.4399999976158142
CalandraLark,Melanocorypha calandra,263,0.6100000143051147
BeardedReedling,Panurus biarmicus,267,0.26999998092651367
LittleTern,Sternula albifrons,274,0.4899999797344208
CommonShelduck,Tadorna tadorna,280,0.14999999105930328
HazelGrouse,Tetrastes bonasia,282,0.4699999988079071
CommonPheasant,Phasianus colchicus,284,0.029999999329447746
EuropeanTurtleDove,Streptopelia turtur,284,0.17999999225139618
