Ficedula hypoleuca_European Pied Flycatcher
Panurus biarmicus_Bearded Reedling
Aegithalos caudatus_Long-tailed Tit
Poecile palustris_Marsh Tit
Poecile montanus_Willow Tit
Lophophanes cristatus_European Crested Tit
Oriolus oriolus_Eurasian Golden Oriole
Corvus corax_Northern Raven
Fringilla montifringilla_Brambling
Spinus spinus_Eurasian Siskin
Acanthis flammea_Common Redpoll
Loxia curvirostra_Red Crossbill
Pyrrhula pyrrhula_Eurasian Bullfinch
Coccothraustes coccothraustes_Hawfinch
Emberiza citrinella_Yellowhammer
Gavia arctica_Black-throated Loon
Podiceps auritus_Horned Grebe
Puffinus puffinus_Manx Shearwater
Gulosus aristotelis_European Shag
Egretta garzetta_Little Egret
Ciconia nigra_Black Stork
Cygnus atratus_Black Swan
Branta bernicla_Brant Goose
Tadorna ferruginea_Ruddy Shelduck
Aix galericulata_Mandarin Duck
Netta rufina_Red-crested Pochard
Clangula hyemalis_Long-tailed Duck
Milvus migrans_Black Kite
Milvus milvus_Red Kite
Haliaeetus albicilla_White-tailed Eagle
Circus pygargus_Montagu's Harrier
Buteo lagopus_Rough-legged Buzzard
Pandion haliaetus_Western Osprey
Falco vespertinus_Red-footed Falcon
Coturnix coturnix_Common Quail
Gallus gallus_Red Junglefowl
Porzana porzana_Spotted Crake
Grus grus_Common Crane
Charadrius alexandrinus_Kentish Plover
Charadrius morinellus_Eurasian Dotterel
Calidris temminckii_Temminck's Stint
Calidris maritima_Purple Sandpiper
Lymnocryptes minimus_Jack Snipe
Tringa stagnatilis_Marsh Sandpiper
Phalaropus lobatus_Red-necked Phalarope
Phalaropus fulicarius_Red Phalarope
Stercorarius longicaudus_Long-tailed Jaeger
Stercorarius skua_Great Skua
Ichthyaetus melanocephalus_Mediterranean Gull
Larus michahellis_Yellow-legged Gull
Larus hyperboreus_Glaucous Gull
Gelochelidon nilotica_Gull-billed Tern
Hydroprogne caspia_Caspian Tern
Chlidonias leucopterus_White-winged Tern
Alca torda_Razorbill
Caprimulgus europaeus_European Nightjar
Jynx torquilla_Eurasian Wryneck
Dendrocoptes medius_Middle Spotted Woodpecker
Eremophila alpestris_Horned Lark
Anthus campestris_Tawny Pipit
Anthus cervinus_Red-throated Pipit
Bombycilla garrulus_Bohemian Waxwing
Turdus torquatus_Ring Ouzel
Cettia cetti_Cetti's Warbler
Phylloscopus inornatus_Yellow-browed Warbler
Remiz pendulinus_Eurasian Penduline Tit
Lanius collurio_Red-backed Shrike
Lanius excubitor_Great Grey Shrike
Serinus serinus_European Serin
Linaria flavirostris_Twite
Carpodacus erythrinus_Common Rosefinch
Calcarius lapponicus_Lapland Longspur
Plectrophenax nivalis_Snow Bunting
Emberiza hortulana_Ortolan Bunting
Emberiza calandra_Corn Bunting
Pavo cristatus_Indian Peafowl
Gavia immer_Common Loon
Hydrobates pelagicus_European Storm Petrel
Ixobrychus minutus_Little Bittern
Nycticorax nycticorax_Black-crowned Night Heron
Ardeola ralloides_Squacco Heron
Bubulcus ibis_Western Cattle Egret
Plegadis falcinellus_Glossy Ibis
Phoenicopterus roseus_Greater Flamingo
Anser fabalis_Taiga Bean Goose
Anser erythropus_Lesser White-fronted Goose
Gyps fulvus_Griffon Vulture
Circaetus gallicus_Short-toed Snake Eagle
Lyrurus tetrix_Black Grouse
Zapornia pusilla_Baillon's Crake
Crex crex_Corn Crake
Himantopus himantopus_Black-winged Stilt
Burhinus oedicnemus_Eurasian Stone-curlew
Calidris melanotos_Pectoral Sandpiper
Calidris falcinellus_Broad-billed Sandpiper
Xenus cinereus_Terek Sandpiper
Chlidonias hybrida_Whiskered Tern
Cepphus grylle_Black Guillemot
Fratercula arctica_Atlantic Puffin
Bubo bubo_Eurasian Eagle-Owl
Merops apiaster_European Bee-eater
Upupa epops_Eurasian Hoopoe
Galerida cristata_Crested Lark
Cecropis daurica_Red-rumped Swallow
Anthus hodgsoni_Olive-backed Pipit
Cinclus cinclus_White-throated Dipper
Cisticola juncidis_Zitting Cisticola
Locustella fluviatilis_River Warbler
Acrocephalus paludicola_Aquatic Warbler
Hippolais polyglotta_Melodious Warbler
Curruca nisoria_Barred Warbler
Phylloscopus trochiloides_Greenish Warbler
Ficedula parva_Red-breasted Flycatcher
Certhia familiaris_Eurasian Treecreeper
Lanius senator_Woodchat Shrike
Nucifraga caryocatactes_Spotted Nutcracker
Pastor roseus_Rosy Starling
Loxia leucoptera_Two-barred Crossbill
Loxia pytyopsittacus_Parrot Crossbill
Emberiza pusilla_Little Bunting
