Barbitistes_ocskayi
Barbitistes_serricauda
Bicolorana_bicolor
Bradyporus_dasypus
Broughtonia_domogledi
Conocephalus_dorsalis
Conocephalus_fuscus
Decticus_albifrons
Decticus_verrucivorus
Ephippiger_ephippiger
Eupholidoptera_schmidti
Gampsocleis_glabra
Isophya_camptoxypha
Isophya_kraussii
Isophya_longicaudata
Isophya_modesta
Isophya_modestior
Isophya_rectipennis
Isophya_speciosa
Leptophyes_albovittata
Leptophyes_boscii
Leptophyes_laticauda
Leptophyes_punctatissima
Metrioptera_brachyptera
Pachytrachis_gracilis
Phaneroptera_falcata
Phaneroptera_nana
Pholidoptera_aptera
Pholidoptera_fallax
Pholidoptera_frivaldszkyi
Pholidoptera_griseoaptera
Pholidoptera_littoralis
Pholidoptera_transsylvanica
Platycleis_affinis
Platycleis_albopunctata
Platycleis_grisea
Platycleis_intermedia
Poecilimon_affinis
Poecilimon_thoracicus
Polysarcus_denticauda
Rhacocleis_germanica
Roeseliana_roeselii
Ruspolia_nitidula
Sepiana_sepium
Tessellana_tessellata
Tettigonia_cantans
Tettigonia_caudata
Tettigonia_viridissima
Tylopsis_lilifolia
Yersinella_raymondii
Acheta_domesticus
Eumodicogryllus_bordigalensis
Gryllodinus_kerkennensis
Gryllus_bimaculatus
Gryllus_campestris
Melanogryllus_desertus
Velarifictorus_micado
Natula_averni
Nemobius_sylvestris
Pteronemobius_heydenii
Oecanthus_pellucens
Gryllotalpa_gryllotalpa
Arcyptera_fusca
Chorthippus_acroleucus
Chorthippus_albomarginatus
Chorthippus_apricarius
Chorthippus_biguttulus
Chorthippus_brunneus
Chorthippus_dichrous
Chorthippus_dorsatus
Chorthippus_mollis
Chorthippus_vagans
Chrysochraon_dispar
Euchorthippus_declivus
Euthystira_brachyptera
Gomphocerippus_rufus
Gomphocerus_sibiricus
Myrmeleotettix_maculatus
Omocestus_haemorrhoidalis
Omocestus_petraeus
Omocestus_rufipes
Omocestus_viridulus
Pseudochorthippus_montanus
Pseudochorthippus_parallelus
Psophus_stridulus
Stauroderus_scalaris
Stenobothrus_fischeri
Stenobothrus_lineatus
Stenobothrus_nigromaculatus
Stenobothrus_rubicundulus
Stenobothrus_stigmaticus
Stethophyma_grossum
