Albarracinia_zapaterii
Antaxius_chopardi
Antaxius_hispanicus
Antaxius_kraussii
Antaxius_spinibrachius
Baetica_ustulata
Barbitistes_fischeri
Barbitistes_serricauda
Bicolorana_bicolor
Callicrania_ramburii
Calliphona_koenigi
Canariola_emarginata
Conocephalus_dorsalis
Conocephalus_fuscus
Ctenodecticus_major
Ctenodecticus_ramburi
Cyrtaspis_scutata
Decticus_albifrons
Decticus_verrucivorus
Ephippiger_diurnus
Ephippigerida_areolaria
Gampsocleis_glabra
Isophya_pyrenaea
Leptophyes_punctatissima
Lluciapomaresius_stalii
Metrioptera_buyssoni
Metrioptera_saussuriana
Neocallicrania_miegii
Neocallicrania_selligera
Odontura_aspericauda
Odontura_glabricauda
Odontura_macphersoni
Parasteropleurus_martorellii
Parasteropleurus_perezii
Phaneroptera_falcata
Phaneroptera_nana
Pholidoptera_griseoaptera
Platycleis_affinis
Platycleis_albopunctata
Platycleis_iberica
Platycleis_intermedia
Platycleis_sabulosa
Platystolus_martinezii
Polysarcus_denticauda
Pterolepis_spoliata
Pycnogaster_jugicola
Roeseliana_roeselii
Ruspolia_nitidula
Sepiana_sepium
Sorapagus_catalaunicus
Steropleurus_andalusius
Steropleurus_brunnerii
Synephippius_obvius
Tessellana_tessellata
Tettigonia_cantans
Tettigonia_hispanica
Tettigonia_viridissima
Thyreonotus_corsicus
Tylopsis_lilifolia
Uromenus_brevicollis
Uromenus_rugosicollis
Yersinella_raymondii
Zeuneriana_abbreviata
Acheta_domesticus
Eugryllodes_escalerae
Eugryllodes_pipiens
Eumodicogryllus_bordigalensis
Eumodicogryllus_theryi
Gryllodes_sigillatus
Gryllodinus_kerkennensis
Gryllus_bimaculatus
Gryllus_campestris
Melanogryllus_desertus
Svercus_palmetorum
Natula_averni
Nemobius_sylvestris
Pteronemobius_heydenii
Pteronemobius_lineolatus
Oecanthus_dulcisonans
Oecanthus_pellucens
Gryllotalpa_africana
Gryllotalpa_gryllotalpa
Gryllotalpa_vineae
Arcyptera_tornosi
Chorthippus_albomarginatus
Chorthippus_apicalis
Chorthippus_apricarius
Chorthippus_biguttulus
Chorthippus_binotatus
Chorthippus_brunneus
Chorthippus_dorsatus
Chorthippus_jacobsi
Chorthippus_mollis
Chorthippus_saulcyi
Chorthippus_vagans
Chorthippus_yersini
Chrysochraon_dispar
Dociostaurus_jagoi
Euchorthippus_declivus
Euchorthippus_elegantulus
Euthystira_brachyptera
Gomphocerippus_rufus
Gomphocerus_sibiricus
Myrmeleotettix_maculatus
Omocestus_antigai
Omocestus_bolivari
Omocestus_haemorrhoidalis
Omocestus_petraeus
Omocestus_raymondi
Omocestus_rufipes
Omocestus_viridulus
Pseudochorthippus_montanus
Pseudochorthippus_parallelus
Psophus_stridulus
Stauroderus_scalaris
Stenobothrus_festivus
Stenobothrus_fischeri
Stenobothrus_lineatus
Stenobothrus_nigromaculatus
Stenobothrus_stigmaticus
Stethophyma_grossum
