Acrometopa_macropoda
Acrometopa_servillea
Ancistrura_nigrovittata
Antaxius_difformis
Barbitistes_kaltenbachi
Barbitistes_ocskayi
Barbitistes_serricauda
Barbitistes_yersini
Bicolorana_bicolor
Bradyporus_dasypus
Bradyporus_oniscus
Broughtonia_domogledi
Conocephalus_dorsalis
Conocephalus_fuscus
Cyrtaspis_scutata
Decticus_albifrons
Decticus_verrucivorus
Ephippiger_ephippiger
Eupholidoptera_forcipata
Eupholidoptera_garganica
Eupholidoptera_latens
Eupholidoptera_megastyla
Eupholidoptera_schmidti
Eupholidoptera_smyrnensis
Eupholidoptera_uvarovi
Gampsocleis_glabra
Incertana_incerta
Isophya_clara
Isophya_lemnotica
Isophya_longicaudata
Isophya_modestior
Isophya_obtusa
Isophya_plevnensis
Isophya_rectipennis
Isophya_rhodopensis
Isophya_speciosa
Isophya_tosevski
Leptophyes_albovittata
Leptophyes_boscii
Leptophyes_laticauda
Leptophyes_punctatissima
Metaplastes_ornatus
Metrioptera_brachyptera
Metrioptera_prenjica
Modestana_ebneri
Pachytrachis_gracilis
Parnassiana_chelmos
Parnassiana_coracis
Parnassiana_fusca
Parnassiana_gionica
Parnassiana_parnassica
Parnassiana_tymphrestos
Phaneroptera_falcata
Phaneroptera_nana
Pholidoptera_aptera
Pholidoptera_fallax
Pholidoptera_femorata
Pholidoptera_frivaldszkyi
Pholidoptera_griseoaptera
Pholidoptera_littoralis
Pholidoptera_macedonica
Pholidoptera_stankoi
Pholidoptera_transsylvanica
Platycleis_affinis
Platycleis_albopunctata
Platycleis_escalerai
Platycleis_grisea
Platycleis_intermedia
Poecilimon_affinis
Poecilimon_artedentatus
Poecilimon_chopardi
Poecilimon_deplanatus
Poecilimon_ebneri
Poecilimon_elegans
Poecilimon_gracilis
Poecilimon_hamatus
Poecilimon_hoelzeli
Poecilimon_ikariensis
Poecilimon_jonicus
Poecilimon_macedonicus
Poecilimon_mytilenensis
Poecilimon_nobilis
Poecilimon_nonveilleri
Poecilimon_obesus
Poecilimon_ornatus
Poecilimon_paros
Poecilimon_propinquus
Poecilimon_pseudornatus
Poecilimon_sanctipauli
Poecilimon_tessellatus
Poecilimon_thessalicus
Poecilimon_thoracicus
Poecilimon_veluchianus
Poecilimon_zimmeri
Poecilimon_zwicki
Polysarcus_denticauda
Psorodonotus_macedonicus
Rhacocleis_annulata
Rhacocleis_buchichii
Rhacocleis_germanica
Rhacocleis_lithoscirtetes
Roeseliana_ambitiosa
Roeseliana_roeselii
Ruspolia_nitidula
Saga_hellenica
Sepiana_sepium
Tessellana_orina
Tessellana_tessellata
Tettigonia_cantans
Tettigonia_caudata
Tettigonia_viridissima
Tylopsis_lilifolia
Uromenus_elegans
Vichetia_oblongicollis
Yersinella_raymondii
Acheta_domesticus
Eumodicogryllus_bordigalensis
Gryllodinus_kerkennensis
Gryllus_bimaculatus
Gryllus_campestris
Melanogryllus_desertus
Svercus_palmetorum
Natula_averni
Pteronemobius_heydenii
Oecanthus_dulcisonans
Oecanthus_pellucens
Gryllotalpa_gryllotalpa
Arcyptera_fusca
Chorthippus_apricarius
Chorthippus_biguttulus
Chorthippus_brunneus
Chorthippus_dichrous
Chorthippus_dorsatus
Chorthippus_eisentrauti
Chorthippus_mollis
Chorthippus_vagans
Chrysochraon_dispar
Dociostaurus_jagoi
Euchorthippus_declivus
Euthystira_brachyptera
Gomphocerippus_rufus
Gomphocerus_sibiricus
Myrmeleotettix_maculatus
Omocestus_haemorrhoidalis
Omocestus_petraeus
Omocestus_raymondi
Omocestus_rufipes
Omocestus_viridulus
Pseudochorthippus_parallelus
Psophus_stridulus
Stauroderus_scalaris
Stenobothrus_fischeri
Stenobothrus_lineatus
Stenobothrus_nigromaculatus
Stenobothrus_rubicundulus
Stenobothrus_stigmaticus
Stethophyma_grossum
