ave585_species,ave585_english,w_classifier name,w_english,wikipedia link,has_ave585,has_w
Turdus torquatus,RingOuzel,Turdus_torquatus,Ring Ouzel,http://en.wikipedia.org/wiki/Ring_ouzel,True,True
Turdus viscivorus,MistleThrush,Turdus_viscivorus,Mistle Thrush,http://en.wikipedia.org/wiki/Mistle_thrush,True,True
Tyto alba,WesternBarnOwl,Tyto_alba,Western Barn Owl,http://en.wikipedia.org/wiki/Barn_owl,True,True
Uria aalge,CommonMurre,Uria_aalge,Common Murre,http://en.wikipedia.org/wiki/Common_murre,True,True
Vanellus vanellus,NorthernLapwing,Vanellus_vanellus,Northern Lapwing,http://en.wikipedia.org/wiki/Northern_lapwing,True,True
Xema sabini,SabinesGull,Xema_sabini,Sabine's Gull,http://en.wikipedia.org/wiki/Sabine%27s_gull,True,True
Zapornia pusilla,BaillonsCrake,Porzana_pusilla,Baillon's Crake,http://en.wikipedia.org/wiki/Baillon%27s_crake,True,True
Anthus campestris,Tawnypipit,Anthus_campestris,Tawny pipit,https://en.wikipedia.org/wiki/Tawny_pipit,True,False
Bubo bubo,EurasianEagle-owl,Bubo_bubo,Eurasian eagle-owl,https://en.wikipedia.org/wiki/Eurasian_eagle-owl,True,False
Alcedoatthis,CommonKingfisher,Alcedo_atthis,Common Kingfisher,https://en.wikipedia.org/wiki/Common_kingfisher,True,False
Falco columbarius,Merlin,Falco_columbarius,Merlin,https://en.wikipedia.org/wiki/Merlin_(bird),True,False
Charadrius alexandrinus,KentishPlover,Charadrius_alexandrinus,Kentish Plover,https://en.wikipedia.org/wiki/Kentish_plover,True,False
