Antaxius_difformis
Omocestus_petraeus
Isophya_camptoxypha
Pholidoptera_transsylvanica
Stenobothrus_fischeri
Pteronemobius_heydenii
Decticus_albifrons
Zeuneriana_abbreviata
Metrioptera_brachyptera
Poecilimon_affinis
Pholidoptera_aptera
Rhacocleis_annulata
Pholidoptera_frivaldszkyi
Ruspolia_nitidula
Ephippiger_ephippiger
Conocephalus_dorsalis
Eumodicogryllus_bordigalensis
Ephippiger_terrestris
Natula_averni
Arcyptera_fusca
Isophya_modesta
Eupholidoptera_garganica
Stauroderus_scalaris
Isophya_kraussii
Metrioptera_buyssoni
Poecilimon_gracilis
Stenobothrus_stigmaticus
Tylopsis_lilifolia
Antaxius_spinibrachius
Chorthippus_biguttulus
Pachytrachis_gracilis
Stenobothrus_festivus
Poecilimon_ornatus
Nemobius_sylvestris
Metrioptera_saussuriana
Chorthippus_saulcyi
Gampsocleis_glabra
Gomphocerus_sibiricus
Isophya_speciosa
Chorthippus_brunneus
Phaneroptera_nana
Svercus_palmetorum
Chorthippus_albomarginatus
Psophus_stridulus
Omocestus_raymondi
Antaxius_hispanicus
Gryllus_bimaculatus
Pholidoptera_femorata
Platycleis_affinis
Platycleis_sabulosa
Stenobothrus_lineatus
Chorthippus_apricarius
Sorapagus_catalaunicus
Tettigonia_cantans
Chorthippus_dorsatus
Omocestus_viridulus
Acheta_domesticus
Platycleis_grisea
Eugryllodes_pipiens
Gryllus_campestris
Phaneroptera_falcata
Chrysochraon_dispar
Conocephalus_fuscus
Pteronemobius_lineolatus
Uromenus_rugosicollis
Isophya_rectipennis
Pholidoptera_fallax
Euchorthippus_declivus
Pholidoptera_griseoaptera
Oecanthus_pellucens
Roeseliana_roeselii
Chorthippus_mollis
Melanogryllus_desertus
Isophya_pyrenaea
Ephippiger_diurnus
Pseudochorthippus_parallelus
Leptophyes_laticauda
Pseudochorthippus_montanus
Pholidoptera_littoralis
Myrmeleotettix_maculatus
Dociostaurus_jagoi
Barbitistes_serricauda
Stethophyma_grossum
Isophya_modestior
Leptophyes_albovittata
Barbitistes_fischeri
Barbitistes_obtusus
Chorthippus_vagans
Chorthippus_jacobsi
Euthystira_brachyptera
Gryllodes_sigillatus
Gomphocerippus_rufus
Stenobothrus_rubicundulus
Omocestus_rufipes
Uromenus_brevicollis
Leptophyes_punctatissima
Omocestus_antigai
Chorthippus_dichrous
Callicrania_ramburii
Polysarcus_denticauda
Platycleis_intermedia
Omocestus_haemorrhoidalis
Chorthippus_corsicus
Chorthippus_eisentrauti
Tessellana_tessellata
Stenobothrus_nigromaculatus
Tettigonia_viridissima
Eupholidoptera_schmidti
Thyreonotus_corsicus
Decticus_verrucivorus
Platycleis_albopunctata
Tettigonia_caudata
Gryllotalpa_vineae
Rhacocleis_germanica
Rhacocleis_poneli
Gryllotalpa_gryllotalpa
Sepiana_sepium
Euchorthippus_elegantulus
Poecilimon_thoracicus
Chorthippus_binotatus
Cyrtaspis_scutata
Yersinella_raymondii
Antaxius_chopardi
Bicolorana_bicolor
Leptophyes_boscii
